benchmark_name,feasibility_class,direct_arrivals_available,input_available,output_available,session_available,tool_calls_available,timestamp_available,synthetic_fields_needed,estimated_effort,suitability_rank,notes,source_urls
ShareGPT (vLLM benchmark_serving source),payload_only,no,yes,yes,partial,no,no,arrival timestamps;concurrency model;tenant ID;session ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,12,"Canonical serving-benchmark payload source. ShareGPT_V3_unfiltered_cleaned_split.json ~53k conversations of prompt/response TEXT (split into 2048-token chunks). NOT a real arrival trace: vLLM benchmark_serving.py SYNTHESIZES Poisson arrivals. Tooling already exists.",https://huggingface.co/datasets/anon8231489123/ShareGPT_Vicuna_unfiltered;https://github.com/vllm-project/vllm/blob/main/benchmarks/README.md
RAGBench,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,13,"question+documents(4 each)+response(measurable output) per row; id per row; 12 subsets ~100K rows; cc-by-4.0, no gating; multi-passage contexts good for prefix/context-length traces. No timestamps/tool/tenant fields.",https://huggingface.co/datasets/rungalileo/ragbench;https://huggingface.co/datasets/galileo-ai/ragbench
LongBench,payload_only,no,yes,partial,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,14,"4750 examples, avg 5k-15k words (LSHT up to 22,337): strong long-input prefill traces with short outputs. data.zip downloadable + GitHub pred.py/result.py eval; HF viewer disabled (legacy loading script). HF card omits license (GitHub MIT).",https://github.com/THUDM/LongBench;https://huggingface.co/datasets/THUDM/LongBench
L-Eval,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,15,"input 71.6k-116k chars (3k-200k tokens), 411-508 long docs, 2043 query-response pairs with visible gold answers; auto_eval.py/llm_eval.py present. Ideal long-input prefill traces. GPL-3.0 (license caveat).",https://huggingface.co/datasets/L4NLP/LEval;https://github.com/OpenLMLab/LEval
LongBench v2,payload_only,no,yes,partial,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,16,"503 MCQs, context 8k-2M words (most <128k); fields _id/domain/length/question/choices/answer/context. Answer is A/B/C/D only so output length must be synthesized. Extreme inputs stress prefill. HF viewer fails (TooBigContentError).",https://huggingface.co/datasets/THUDM/LongBench-v2;https://huggingface.co/datasets/zai-org/LongBench-v2
SWE-bench Verified,payload_only,no,yes,yes,partial,partial,partial,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,17,"500 human-verified rows: problem_statement(input)+gold patch/test_patch(output)+instance_id+created_at(PR creation date, NOT serving arrival). Multi-step request loop only emerges via agentic harness (SWE-agent). Dataset-card license not displayed.",https://huggingface.co/datasets/SWE-bench/SWE-bench_Verified;https://github.com/princeton-nlp/SWE-bench
SWE-bench,payload_only,no,yes,yes,partial,partial,partial,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,18,"problem_statement+gold patch+instance_id+created_at(PR date). Single issue per task; multi-step loop only via SWE-agent harness, not from dataset alone. 608 commits, active.",https://github.com/princeton-nlp/SWE-bench;https://huggingface.co/datasets/SWE-bench/SWE-bench
SWE-bench Pro,payload_only,no,partial,yes,partial,partial,partial,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,19,"PUBLIC: 731 rows, problem_statement 419-8.04k chars + gold patch. Prompts via SWE-agent submodule configs (not raw in repo). Long-horizon enterprise tasks; multi-step trace only via agentic harness. HF dataset license not shown.",https://github.com/scaleapi/SWE-bench_Pro-os;https://huggingface.co/datasets/ScaleAI/SWE-bench_Pro
WebArena,payload_only,no,yes,yes,partial,yes,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,20,"812 task configs(intent/sites/task_id)+raw prompts in agent/prompts/raw; released execution trajectories + ~170 human recordings. needs-live-environment (self-host sites via Docker) to GENERATE per-request browser-action token traces.",https://github.com/web-arena-x/webarena
VisualWebArena,payload_only,no,yes,yes,partial,yes,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,21,"910 tasks; prompt JSONs in agent/prompts/jsons; GPT-4V+SoM trajectories on all 910 + 233 human Playwright recordings on Google Drive. Multimodal (heterogeneity). needs-live-environment to GENERATE traces.",https://github.com/web-arena-x/visualwebarena
NarrativeQA,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,22,"28,668 rows, 3.43GB; each carries full book/movie-script story (e.g. ~41k tokens) + question + visible gold answer. Long full-story contexts: strong long-input prefill, short outputs. apache-2.0.",https://huggingface.co/datasets/deepmind/narrativeqa
Qasper,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,23,"1585 NLP papers/5049 questions; full_text + qas with gold answers; full-paper contexts give long single-shot inputs. Light parquet (text only). cc-by-4.0; allenai/qasper-led-baseline eval.",https://huggingface.co/datasets/allenai/qasper;https://github.com/allenai/qasper-led-baseline
HotpotQA,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,24,"203,109 rows; question+context(10 passages in distractor)+supporting_facts+answer. Moderate input length, short answers; usable for cache/prefix-reuse traces (shared distractor passages). cc-by-sa-4.0. Eval on GitHub.",https://huggingface.co/datasets/hotpotqa/hotpot_qa
MuSiQue,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,25,"22,355 rows; paragraphs(20)+question+decomposition+answer. Multi-hop 20-paragraph contexts good for input-length traces. HF mirror has NO card (cc-by-4.0 from GitHub). Official data via GitHub/Google Drive.",https://huggingface.co/datasets/dgslibisey/MuSiQue;https://github.com/StonyBrookNLP/musique
Natural Questions,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,26,"307,373 train/7,830 val; each example a full Wikipedia page (long context) + short/long answer + byte offsets. Strong long-input prefill. Main blocker: 144.87 GB total download. cc-by-sa-3.0.",https://huggingface.co/datasets/google-research-datasets/natural_questions
TriviaQA,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,27,"847,579 rows, 34.8GB (rc subset 16GB with evidence docs); question+evidence docs+answer aliases. rc multi-doc good for long-input; nocontext subsets short. License listed unknown (copyright caveat) = blocker.",https://huggingface.co/datasets/mandarjoshi/trivia_qa
ShareGPT,payload_only,no,yes,yes,partial,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,28,"Multi-turn prompt/response TEXT, split into 2048-token chunks (turn boundaries altered). Anonymous uploader credibility risk; English-only after filtering; unofficial ShareGPT scrape (ToS/legal risk). No timestamps.",https://huggingface.co/datasets/anon8231489123/ShareGPT_Vicuna_unfiltered;https://huggingface.co/datasets/RyokoAI/ShareGPT52K
UltraChat,payload_only,no,yes,yes,partial,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,29,"Synthetic (ChatGPT-generated, not real user traffic) so token/turn distributions are model-shaped not real serving traffic. Multi-turn text; no native token stats; large (orig 1.4M/9.29GB). mit.",https://huggingface.co/datasets/HuggingFaceH4/ultrachat_200k;https://huggingface.co/datasets/stingning/ultrachat
OpenAssistant,payload_only,no,yes,yes,partial,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,30,"Tree/branched structure (not linear sessions): messages are rows keyed by parent_id/message_tree_id, require path-flattening to extract request traces. No native token stats. apache-2.0.",https://huggingface.co/datasets/OpenAssistant/oasst1;https://huggingface.co/datasets/OpenAssistant/oasst2
LiveCodeBench,payload_only,no,yes,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,31,"Prompts hosted on HF (not in repo); reference solutions NOT bundled so output-length traces require running generation. HF viewer disabled (requires arbitrary code exec). MIT; problems through Apr 2025.",https://github.com/LiveCodeBench/LiveCodeBench;https://huggingface.co/datasets/livecodebench/code_generation_lite
RepoBench,payload_only,no,partial,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,32,"repo_name/file_path/context(path,snippet,tokenized_snippet)+import_statement+code; next-line completion target = output length. Full repo-context prefill must be reconstructed from HF data files. Loads via deprecated dataset script (installed datasets rejects). cc-by-4.0.",https://github.com/Leolty/RepoBench;https://huggingface.co/datasets/tianyang/repobench-p
DevEval,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,33,"Prompts in Experiments/prompt + model_prediction present, but full prefill needs Source_Code.tar.gz + Dependency_Data.tar.gz reassembly. GitHub lists NO license (cc-by-4.0 only on HF). 3 commits, broken HF viewer, 2.59GB.",https://github.com/seketeam/DevEval;https://huggingface.co/datasets/LJ0815/DevEval
BigCodeBench,payload_only,no,partial,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,34,"Complete/Instruct prompts give input length but only LLM-generated samples bundled (no human reference) so output-length traces require running eval. Task prompts in linked HF datasets, not README. Apache-2.0.",https://github.com/bigcode-project/bigcodebench;https://huggingface.co/datasets/bigcode/bigcodebench-hard
Terminal-Bench,payload_only,no,yes,partial,partial,yes,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,35,"Tasks in-repo (tasks/ folder, terminal-bench-core v0.1.1), ~100 beta tasks. Multi-step agentic terminal interaction; token traces only extractable by running the execution harness. Successor harbor/Terminal-Bench 2.0 (possible v1 deprecation). Apache-2.0.",https://github.com/laude-institute/terminal-bench
arXiv summarization,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,36,"Long-doc workload: avg article ~6038 ws-tokens / abstract ~299, drives heavy prefill + long decode. article+abstract fields. No license shown on card.",https://huggingface.co/datasets/ccdv/arxiv-summarization
PubMed summarization,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,37,"Long-in/long-out: avg article ~3043 ws-tokens / abstract ~215; prefill-heavy. article+abstract. No license shown on card.",https://huggingface.co/datasets/ccdv/pubmed-summarization
GovReport summarization,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,38,"Very long reports = extreme prefill + long decode. ccdv card shows no license; launch/gov_report mirror = cc-by-4.0, 19463 rows.",https://huggingface.co/datasets/ccdv/govreport-summarization;https://huggingface.co/datasets/launch/gov_report
MultiNews,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,39,"Multi-doc long input (44972/5622/5622) = heavy prefill, long-ish decode. License = custom non-commercial (LILY LAB agreement). Viewer disabled (requires arbitrary Python exec).",https://huggingface.co/datasets/alexfabbri/multi_news
BookSum,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,40,"Book/chapter-length inputs = most extreme prefill + very long decode of the summarization group; multi-granularity summaries. BSD-3-Clause.",https://huggingface.co/datasets/kmfoda/booksum
HumanEval,payload_only,no,partial,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,41,"Data in repo data/ (jsonl); prompts in problems[task_id]['prompt']+canonical_solution. Single-shot function-completion, no agentic loop, low prefill pressure. MIT. Execution commented out for safety.",https://github.com/openai/human-eval
MBPP,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,42,"974 full/427 sanitized rows; text/prompt + gold code present; public (178k downloads/mo). Single-shot short prompts, no agentic loop, low prefill. CC-BY-4.0.",https://huggingface.co/datasets/google-research-datasets/mbpp
HELM,payload_only,no,yes,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,43,"Orchestrates many sub-benchmarks (mostly short single-shot prompts) good for synthetic arrival/concurrency, but trace must be reconstructed from scenario configs. DEPRECATION RISK: entered maintenance mode June 1 2026. Apache-2.0.",https://github.com/stanford-crfm/helm
EleutherAI lm-evaluation-harness,payload_only,no,partial,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,44,"60+ benchmarks with public Jinja2 prompt templates; short single-shot prompts ideal for synthetic batch concurrency. Request trace extractable by rendering prompts but not shipped as a trace. MIT, 13k stars.",https://github.com/EleutherAI/lm-evaluation-harness
MMLU-Pro,payload_only,no,yes,partial,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,45,"12102 rows; 10-option MCQ with cot_content (CoT exemplars) so longer decode than MMLU; short-ish prompts good for concurrency; CoT enables longer-output modeling. MIT.",https://huggingface.co/datasets/TIGER-Lab/MMLU-Pro
MMLU,payload_only,no,yes,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,46,"231400 rows (14042 test); short 4-choice MCQ = very short in/out, near-ideal for synthetic arrival/concurrency modeling. Needs eval harness for prompt formatting. MIT.",https://huggingface.co/datasets/cais/mmlu
GSM8K,payload_only,no,partial,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,47,"8.5K problems (7.5K train/1K test) with chain-of-thought solutions = moderate decode length; short prompts good for arrival/concurrency. DEPRECATION: repo archived/read-only Apr 8 2026. Widely cited MIT.",https://github.com/openai/grade-school-math
MATH,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,48,"Verified mirror MATH-500 = 500 test rows with problem/solution/answer; long step-by-step solutions = longer decode; short-medium prompts ok for concurrency. Full MATH off-repo. MIT.",https://github.com/hendrycks/math;https://huggingface.co/datasets/HuggingFaceH4/MATH-500
Big-Bench,payload_only,no,yes,yes,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,49,"200+ JSON tasks with input/target prompts (BBL = 24-task subset); mostly short single-shot prompts good for synthetic arrival/concurrency. DEPRECATION: repo archived/read-only Apr 17 2026. Apache-2.0.",https://github.com/google/BIG-bench
BBH (BIG-Bench-Hard),payload_only,no,yes,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,50,"Data public via HF mirror maveriq/bigbenchhard (MIT, 6511 rows, 23 tasks, input/target). CoT prompts in source repo. Short single-shot prompts good for concurrency. GitHub source repo 404 on all fetches (cannot verify stars/license directly).",https://huggingface.co/datasets/maveriq/bigbenchhard;https://github.com/suzgun/BIG-Bench-Hard
AgentBench,schema_only,no,partial,no,partial,yes,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,51,"8 environments via Docker Compose (WebShop/ALFWorld/KG/OS etc.); configs+prompts present but NO sample trajectory files in repo. KG needs external Freebase. Request-level tool-call loops must be GENERATED by running against task servers. Apache-2.0.",https://github.com/THUDM/AgentBench
OSWorld,schema_only,no,partial,no,no,yes,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,52,"Requires VM (VMware/VirtualBox/Docker+KVM/AWS), some tasks need client VM sudo. V2 task classes in a GATED HF dataset; tasks in-repo but no raw prompt text on page; outputs (screenshots/actions/video) GENERATED to ./results, not pre-supplied. Apache-2.0.",https://github.com/xlang-ai/OSWorld;https://huggingface.co/datasets/xlangai/osworld_v2_tasks
WorkArena,schema_only,no,partial,no,no,yes,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,53,"needs-live-environment + GATING: requires a ServiceNow instance; access via gated HF ServiceNow/WorkArena-Instances. L1=19912 instances/33 tasks, WorkArena++=682 tasks. Demos are videos not text trajectories. Per-request browser trace GENERATED against live instance. Apache-2.0.",https://github.com/ServiceNow/WorkArena;https://github.com/ServiceNow/WorkArena/blob/main/LICENSE
GAIA,schema_only,no,partial,no,no,partial,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,54,"GATED: HF dataset requires accepting contact-sharing + no-reshare; login required so questions/answers NOT visible on card. ~450+ questions, dev public / test answers private. No license on card. Trace must be GENERATED by running an agent (tool loops vary by harness).",https://huggingface.co/datasets/gaia-benchmark/GAIA
MiniWoB++,schema_only,no,partial,no,no,yes,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,55,"needs-live-environment: Selenium WebDriver + Chrome. Gymnasium API (no dedicated eval scripts). utterances/instructions per env but no full prompt list or trajectory files shipped. Very short single-step interactions (low KV/context growth). Per-step trace GENERATED by stepping env. MIT.",https://github.com/Farama-Foundation/miniwob-plusplus
SWE-Lancer,schema_only,no,partial,no,partial,partial,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,56,"Original openai/SWELancer-Benchmark ARCHIVED/read-only (Jul 18 2025), redirects to openai/preparedness. Dataset hosting/gating not confirmed (Git LFS, dataset_public=maybe). Freelance SWE tasks with e2e tests are inherently agentic multi-step. MIT. arXiv id 2502.12115 UNVERIFIED.",https://github.com/openai/SWELancer-Benchmark;https://github.com/openai/preparedness
2WikiMultihopQA,schema_only,no,partial,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,57,"NO official HuggingFace dataset; data only via Dropbox links from GitHub (data.zip). GitHub describes format (question/context/supporting_facts/evidences/answer) but raw rows and gold answers NOT shown on page (must download). Size/length stats not stated. cc-by-4.0.",https://github.com/Alab-NII/2wikimultihop
GPQA,schema_only,no,partial,no,no,no,no,arrival timestamps;concurrency model;output length model;session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,58,"GATED: must agree to share contact info; login + accept conditions required; agreement forbids revealing examples in plain text online. 448 MCQs; short prompts ok for concurrency but access-gated. CC-BY-4.0.",https://huggingface.co/datasets/Idavidrein/gpqa
