benchmark_name,input_token_range,output_token_range,io_ratio,prefill_pressure,decode_residency,kv_lifetime,multi_turn_growth,tool_call_frequency,prefix_reuse_potential,arrival_pattern,concurrency_pattern,slo_sensitivity,likely_router_failure_mode,suitability,reason
RepoBench,2000-16000 ESTIMATE (retrieved repo context),10-150 MEASURED (next-line completion),~50:1,high,low,short,none,none,high (same repo across rows),batch,high,strict-TPOT (IDE-like),prefill-starvation-of-decode / prefix-cache-miss-penalty,yes,"context list with path/snippet/tokenized_snippet + import_statement (Agent C). Next-line target = tiny decode; massive prefill — perfect prefill-vs-decode tradeoff test, and shared repo_name enables prefix-cache evaluation."
DevEval,3000-20000 ESTIMATE (source+deps tarball),50-500 ESTIMATE,~30:1,high,low,short,none,low,high,batch,medium,background,prefill-starvation-of-decode,maybe,GitHub has no license; HF Source_Code.tar.gz 2.59GB w/ broken viewer (Agent A). Data assembly burden makes reproducibility risky.
BigCodeBench,500-2000 ESTIMATE (Complete/Instruct prompts),100-800 ESTIMATE,~3:1,medium,medium,short,none,none,low,batch,high,background,decode-backlog-overload,yes,Live HF bigcodebench-hard (Agent A); Complete + Instruct prompt variants. Single-shot batch concurrency profile.
Terminal-Bench,500-5000 ESTIMATE (task+terminal context),100-3000 ESTIMATE per step,~3:1,medium,medium,long,large,high,medium,batch,medium,relaxed,kv-cache-pressure / session-affinity-failure,yes,~100 multi-step shell tasks (Agent A); needs harness to produce per-turn trace. Successor v2 announced — deprecation risk for v1.
ToolBench,500-5000 ESTIMATE (query+api_list),100-2000 ESTIMATE per step,~3:1,medium,medium,long,large,high,medium (shared api_list per family),batch,medium,relaxed,session-affinity-failure / cancellation-waste / kv-cache-pressure,yes,"469585 real API calls, 126486 instances, 120k+ solution paths as static DFSDT trajectories (Agent A); answer trees have Action/Action Input/Thought/Observation nodes (Agent C) — fully replayable tool-call loops without re-running a server."
AgentBench,500-3000 ESTIMATE per turn,100-1500 ESTIMATE per turn,~2:1,medium,medium,long,large,high,medium,batch,medium,relaxed,session-affinity-failure / kv-cache-pressure,yes,8 environments via Docker (WebShop/ALFWorld/KG/OS) with configs+prompts present (Agent A); per-task tool-call loops vary by env. Trace must be generated via src.assigner.
tau-bench,500-5000 ESTIMATE,100-1500 ESTIMATE per turn,~3:1,medium,medium,long,large,high,medium,interactive (user-sim),medium,strict-TTFT (user-sim loop),session-affinity-failure / head-of-line-blocking,yes,User-simulator LLM + historical_trajectories/ replayable (Agent A); ideal for testing routing under interlocked LLM-LLM agent loops with concurrency. Deprecation note: see tau2-bench.
AppWorld,500-3000 ESTIMATE,100-2000 ESTIMATE per step,~3:1,medium,high,long,large,high (num_api_calls MEASURED 30-101+),high,batch,medium,relaxed,kv-cache-pressure / session-affinity-failure / cancellation-waste,yes,HF mirror exposes num_api_calls (MEASURED: 30 and 101 per Agent C samples 83a7951_2 and 692c77d_2); 457 APIs in env (Agent A). Long agentic loops with measurable tool-call cardinality.
WebArena,1000-8000 ESTIMATE (DOM/AX-tree obs per turn),50-500 ESTIMATE per action,~10:1,high,low,long,large,high,medium (page DOMs reuse),batch,medium,strict-TTFT (per browser step),prefill-starvation-of-decode / kv-cache-pressure / session-affinity-failure,yes,812 tasks across 6 sites; raw prompts in agent/prompts/raw + 170 human Playwright recordings (Agent A). Each step has a huge DOM/AX-tree prefill vs a tiny click/type action — strong prefill-decode imbalance test.
VisualWebArena,1000-8000 ESTIMATE text + image tokens,50-500 ESTIMATE,~10:1,high,low,long,large,high,medium,batch,medium,strict-TTFT,prefill-starvation-of-decode / kv-cache-pressure,yes,910 multimodal tasks; image+text input. GPT-4V+SoM trajectories on all 910 + 233 human recordings on Drive (Agent A). Multimodal prefill stresses image-token-aware routing.
OSWorld,2000-15000 ESTIMATE per step (screenshot+a11y),50-1500 ESTIMATE per action,~15:1,extreme,low,long,large,high,medium,batch,low (VM-bound),relaxed,OOM / prefill-starvation-of-decode / session-affinity-failure,yes,Desktop OS automation in VM; multimodal screenshots per step (Agent A). Highest prefill of agent category. Live VM requirement limits concurrency.
MiniWoB++,50-500 ESTIMATE (short DOM + instruction),5-50 ESTIMATE (single action),~10:1,low,low,short,small,medium,low,batch,high,strict-TPOT,decode-backlog-overload,maybe,Very short single-step interactions; low KV/context growth (Agent A). Useful as a high-rate low-bytes corner case but does not stress KV or multi-turn.
GAIA,50-300 ESTIMATE (terse Qs),50-300 ESTIMATE (final answer) + agent loop varies,~1:1 (final); varies w/ harness,medium (harness-dependent),medium,long,large,high,low,batch,medium,relaxed,session-affinity-failure / cancellation-waste,maybe,Single-turn QA at the dataset level but realistic eval requires an agent harness — token trace fully depends on harness (Agent A). Gated; test answers private.
BrowserArena,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,insufficient evidence,no,Per Agent A: arxiv-only; github.com/web-arena-x/BrowserArena returns 404; no downloadable dataset/code. Cannot be reproduced offline.
WorkArena,1000-8000 ESTIMATE,50-500 ESTIMATE,~10:1,high,low,long,large,high,medium,interactive (live ServiceNow),medium,strict-TTFT,prefill-starvation-of-decode / unfair-tenant-starvation,maybe,"Needs live ServiceNow instance + gated ServiceNow/WorkArena-Instances HF (Agent A). L1=19912 instances/33 tasks, ++=682. Routing-relevant but access friction is high."
LongBench,5000-30000 MEASURED-from-card (avg 5k-15k words; LSHT 22337),10-300 ESTIMATE,~100:1,high,low,short,none,none,low,batch,medium,strict-TTFT (TTFT dominates),prefill-starvation-of-decode / OOM,yes,"4,750 examples, 21 tasks; canonical long-input low-output workload (Agent A). Perfect for TTFT-bound long-prefill routing."
LongBench v2,"10000-2000000 MEASURED (8k-2M words, majority <128k)",1-4 MEASURED (single MCQ letter),extreme prefill / micro decode,extreme,low,short,none,none,low,batch,low (per-request memory hog),strict-TTFT,OOM / prefill-starvation-of-decode,yes,"503 MCQs, context up to 2M words (Agent A); Agent C sampled answer key length = 1 letter. Most extreme prefill-pressure workload in catalog; ideal stress test."
L-Eval,3000-200000 MEASURED-from-card (3k-200k tokens),10-1000 ESTIMATE,~100:1,high,low,short,none,none,low,batch,medium,strict-TTFT,OOM / prefill-starvation-of-decode,yes,"411-508 long docs, 2043 query-response pairs (Agent A). Wide input-length distribution good for sweep tests; gold answers visible."
RAGBench,500-4000 ESTIMATE (question + 4 documents),50-500 MEASURED (response field),~5:1,medium,low,short,none,none,high (same documents reused),batch,high,strict-TTFT,prefix-cache-miss-penalty / decode-backlog-overload,yes,"12 subsets ~100K rows; question + 4 documents + response stored (Agent A, Agent C samples). Strongest catalog candidate for prefix-cache-aware routing tests."
HotpotQA,1500-3000 ESTIMATE (10 distractor passages),5-50 MEASURED (short answer),~50:1,medium,low,short,none,none,medium,batch,high,strict-TTFT,decode-backlog-overload / prefix-cache-miss-penalty,yes,"203,109 rows; distractor variant ships 10 passages (Agent A). Moderate input + tiny answer = balanced batch workload."
Natural Questions,5000-50000 ESTIMATE (full Wikipedia page),5-50 MEASURED (short ans),~1000:1,extreme,low,short,none,none,low,batch,low,strict-TTFT,OOM / prefill-starvation-of-decode,yes,"144.87GB total, full Wikipedia per example (Agent A). Pure prefill stress; download burden is the main blocker."
TriviaQA,500-10000 ESTIMATE (rc subset multi-doc),5-100 ESTIMATE (alias),~100:1,high,low,short,none,none,medium,batch,medium,strict-TTFT,prefill-starvation-of-decode,yes,"847,579 rows, rc subset 16GB with multi-doc evidence (Agent A). License unknown is a blocker."
MuSiQue,2000-5000 ESTIMATE (20-paragraph context),5-100 ESTIMATE,~50:1,high,low,short,none,none,medium,batch,medium,strict-TTFT,prefix-cache-miss-penalty,yes,"22,355 rows, 20-paragraph multi-hop contexts (Agent A). Larger contexts than HotpotQA — exercises mid-prefill regime."
2WikiMultihopQA,1500-3000 ESTIMATE,5-50 ESTIMATE,~50:1,medium,low,short,none,none,medium,batch,medium,strict-TTFT,decode-backlog-overload,maybe,No official HF mirror; Dropbox-only distribution (Agent A). Reproducibility risk.
NarrativeQA,30000-50000 MEASURED-from-card (~41k tok story),5-50 MEASURED (short ans),~1000:1,extreme,low,short,none,none,low,batch,low,strict-TTFT,OOM / prefill-starvation-of-decode,yes,"28,668 rows; full book/movie-script per example w/ word_count ~41,000 (Agent A). Tier-1 long-input benchmark."
Qasper,5000-15000 ESTIMATE (full paper full_text),10-200 MEASURED (extractive/free-form),~100:1,high,low,short,none,none,medium (same paper across multiple Qs),batch,medium,strict-TTFT,prefix-cache-miss-penalty / prefill-starvation-of-decode,yes,"1,585 papers / 5,049 questions (Agent A). Same paper reused across questions = ideal prefix-cache routing test."
arXiv summarization,4000-10000 MEASURED (~6038 ws-tok),200-500 MEASURED (~299 ws-tok),~20:1,high,medium,short,none,none,low,batch,medium,strict-TPOT (long decode),prefill-starvation-of-decode / decode-backlog-overload,yes,Avg article ~6038 ws-tokens / abstract ~299 (Agent A). Heavy prefill plus medium decode = classic chunked-prefill scheduler stress.
PubMed summarization,2000-6000 MEASURED (~3043 ws-tok),100-400 MEASURED (~215 ws-tok),~15:1,high,medium,short,none,none,low,batch,medium,strict-TPOT,prefill-starvation-of-decode,yes,Long-in/long-out (Agent A); same chunked-prefill profile as arXiv summarization but smaller scale.
GovReport summarization,7000-30000 ESTIMATE,500-2000 ESTIMATE,~15:1,extreme,high,short,none,none,low,batch,low,strict-TPOT,OOM / prefill-starvation-of-decode / decode-backlog-overload,yes,Very long government reports; one of the heaviest joint prefill+decode workloads (Agent A).
MultiNews,1500-8000 ESTIMATE (multi-doc cluster),200-800 ESTIMATE,~10:1,high,medium,short,none,none,low,batch,medium,strict-TPOT,prefill-starvation-of-decode,maybe,"License = LILY LAB non-commercial (Agent A); usable for research only, not for productionizable benchmarks."
BookSum,5000-100000 ESTIMATE (book/chapter),500-3000 ESTIMATE,~20:1,extreme,high,short,none,none,medium (chapter-level reuse),batch,low,strict-TPOT,OOM / decode-backlog-overload,yes,Most extreme combined prefill+decode in the group (Agent A). Stress test for memory-bound disaggregated serving.
HELM,100-3000 ESTIMATE (scenario-dependent),10-500 ESTIMATE,~5:1,medium,low,short,none,none,low,batch (orchestrated),batch-synchronized,background,unfair-tenant-starvation / decode-backlog-overload,yes,Orchestrates many sub-benchmarks (Agent A); enters maintenance Jun 2026. Useful as a heterogeneous-mix arrival generator.
EleutherAI lm-evaluation-harness,50-2000 ESTIMATE,5-300 ESTIMATE,~5:1,low,low,short,none,none,low,batch,batch-synchronized,background,decode-backlog-overload,yes,60+ benchmarks; Jinja2 prompt templates render to short single-shots (Agent A). Canonical batch-throughput corpus.
MMLU,50-500 ESTIMATE,1-5 ESTIMATE (letter),extreme prefill-heavy at small absolute size,low,low,short,none,none,low,batch,high,background,decode-backlog-overload (TPOT minimal),yes,14042 test rows of 4-choice MCQ (Agent A). Tiny in/out — ideal for max-concurrency QPS sweeps.
MMLU-Pro,100-2000 ESTIMATE (with cot_content),50-500 ESTIMATE (CoT),~3:1,low,medium,short,none,none,low,batch,high,background,decode-backlog-overload,yes,"12102 rows, 10-option MCQ + cot_content (Agent A). CoT triggers longer decode than MMLU."
GSM8K,50-200 MEASURED (short word problem),100-400 ESTIMATE (CoT solution),~1:2,low,medium,short,none,none,low,batch,high,background,decode-backlog-overload,yes,8.5K problems w/ CoT solutions (Agent A). Repo archived Apr 2026 — data fixed/stable. Decode dominates.
MATH,50-500 ESTIMATE,200-1500 ESTIMATE (step-by-step),~1:3,low,medium,short,none,none,low,batch,high,background,decode-backlog-overload,yes,"MATH-500 mirror (Agent A): short statement, long stepwise solution. Decode-bound concurrency profile."
GPQA,100-600 ESTIMATE,1-200 ESTIMATE,~5:1,low,low,short,none,none,low,batch,high,background,decode-backlog-overload,maybe,448 MCQs; HF gated — examples must not be revealed in plain text per license (Agent A). Reproducibility friction.
Big-Bench,50-2000 ESTIMATE (per-task varies),5-500 ESTIMATE,varies,low,low,short,none,none,low,batch,high,background,decode-backlog-overload / unfair-tenant-starvation,yes,"200+ JSON tasks (Agent A). Archived Apr 2026 — corpus immutable, good for reproducible heterogeneous-mix arrivals."
BBH (BIG-Bench-Hard),200-1500 ESTIMATE (CoT prompts),50-500 ESTIMATE,~3:1,low,medium,short,none,none,medium (CoT examplars shared),batch,high,background,decode-backlog-overload,yes,6511 rows / 23 tasks; CoT exemplar prefix shared across rows (Agent A) — good for prefix-cache hit-rate routing tests.
Azure LLM Inference Trace 2023,varies-MEASURED (ContextTokens column),varies-MEASURED (GeneratedTokens column),varies-MEASURED,varies (high tail),varies,short,none (no session id),none,unknown (no prefix-hash field),bursty (real production),high,strict-TTFT,head-of-line-blocking / decode-backlog-overload / tail-latency-explosion,yes,"Real Azure production: TIMESTAMP, ContextTokens, GeneratedTokens (Agent A, Agent G #1). Two CSVs: code + conv. No prompt text (GDPR), no prefix-hash, no session — pure arrival+token-length trace."
Azure LLM Inference Trace 2024,varies-MEASURED,varies-MEASURED,varies-MEASURED,varies,varies,short,none,none,unknown,bursty,high,strict-TTFT,head-of-line-blocking / decode-backlog-overload,yes,"One-week sample May 10-19 2024 (Agent A, Agent G #1); same 3-col schema. Backs DynamoLLM HPCA25. Pair w/ Mooncake for prefix-aware variants."
BurstGPT,varies-MEASURED (Request tokens column),varies-MEASURED (Response tokens column),varies-MEASURED,varies,varies,session-persistent,large,none,high (Session ID enables cross-turn cache),bursty (KDD25 'BurstGPT' = burstiness focus),high,strict-TTFT,session-affinity-failure / head-of-line-blocking / tail-latency-explosion,yes,"BurstGPT_3 ~5.34M rows over 110 days w/ Session ID + Timestamp + tokens + Model + Log Type (Agent A, Agent G #2). UNIQUE: only public trace combining bursty arrivals AND session continuity."
Mooncake Trace,varies-MEASURED (input_length),varies-MEASURED (output_length),varies-MEASURED,varies,varies,short,none (no session id field),none,high (hash_ids array MEASURED),steady/bursty (real Kimi prod),high,strict-TTFT,prefix-cache-miss-penalty / kv-cache-pressure / head-of-line-blocking,yes,"UNIQUE in catalog: timestamp + input_length + output_length + hash_ids array (remapped prefix-cache blocks) (Agent A, Agent G #3); up to ~50% cache hit. Only public trace with explicit prefix-hash for prefix-aware router evaluation."
ShareGPT (vLLM benchmark_serving source),100-2048 MEASURED (text length),50-1500 MEASURED (response text),~1:0.7,medium,medium,short,none,none,low,synthesized (Poisson),high,strict-TTFT,head-of-line-blocking / decode-backlog-overload,yes,"NOT a real arrival trace (Agent A, Agent G #6). ~53k convs of prompt/response text only; vLLM benchmark_serving.py synthesizes arrivals. Use as text payload bank under controlled arrival models."
